snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
1,0.6539916761256148,0.9030662710187932,0.34531013615733736,0.49958960328317376,0.6541085124390018,0.639306722475654
2,0.7804921540656206,0.7694415895854745,0.8009985734664765,0.7849030228900926,0.7804921540656206,0.7158223288905048
3,0.8114285714285714,0.7565123010130246,0.9187170474516696,0.8297619047619048,0.8113813909202059,0.7356800882068952
4,0.8003884333189469,0.7560706401766004,0.8869227449287872,0.8162859980139027,0.8003884333189468,0.7271148750811023
5,0.745125348189415,0.7206896551724138,0.8004874651810585,0.7584955460244144,0.745125348189415,0.6766593026606474
6,0.7973826714801444,0.7208445040214477,0.9706678700361011,0.8273076923076923,0.7973826714801444,0.7143666643276778
7,0.655181214905564,0.6925996204933587,0.5586734693877551,0.618469358938153,0.6552305038460737,0.607712938952195
8,0.7289624183006536,0.7109522017312758,0.7716503267973857,0.7400587659157688,0.7289624183006537,0.6627813354045671
9,0.7215757978723404,0.6846622369878184,0.8218677301429046,0.747017066908322,0.7215424450514988,0.6517975433085927
10,0.5609227631914351,0.5716840536512667,0.48853795211411105,0.526850707320423,0.560978159730525,0.5352159436229029
11,0.6859609397112936,0.6990642921823121,0.6546071226681741,0.6761056780032112,0.686005375393044,0.6305533083413267
12,0.3306861499364676,0.06877022653721683,0.027001270648030495,0.038777372262773724,0.3306861499364676,0.48835624817524254
13,0.12271914132379248,0.18737029350726356,0.2261180679785331,0.20492866407263294,0.12271914132379248,0.4293087747751666
14,0.7996275605214153,0.9458720612356479,0.639083856667898,0.7627865961199295,0.8009538697534009,0.7864282500975327
15,0.8422869147659063,0.9482225656877898,0.7279738949866509,0.8236281255244169,0.8436407586078108,0.8278863164747825
16,0.8709392655367232,0.9509228187919463,0.7868795557098229,0.8611585944919278,0.8724192963601216,0.8566656799675991
17,0.8411354581673307,0.9143026004728132,0.7583333333333333,0.8290460878885316,0.8424763832658569,0.8161051028353097
18,0.839654210819855,0.9360505973295854,0.7334801762114538,0.8224760728619944,0.8410338734164614,0.8215438822255151
19,0.773841961852861,0.9225496915695682,0.6038582323912068,0.7299349240780911,0.7759521047013506,0.7575887719116458
20,0.8131578947368421,0.9117312072892938,0.696692776327241,0.7898371978293044,0.8140846728674225,0.7880474232635479
21,0.8258003766478342,0.8972033257747544,0.7391033623910336,0.8105155343120519,0.8265137065119725,0.7946388636295433
22,0.7524906600249066,0.9249743062692704,0.5548705302096177,0.6936416184971098,0.7544792902620416,0.738023050997724
23,0.804968287526427,0.924963924963925,0.6691022964509394,0.7764990914597214,0.8067138891248273,0.7864430550379962
24,0.7765909090909091,0.9121171770972037,0.6168392615938766,0.7359656191243621,0.7781305073458138,0.7560387769168213
