snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
1,0.6587211502080969,0.9030710172744721,0.3559001512859304,0.5105805751492133,0.6588357683000431,0.6435748861685995
2,0.8332738944365192,0.7832676568657169,0.9215406562054208,0.8467966573816156,0.8332738944365193,0.7610426623898048
3,0.810989010989011,0.7550432276657061,0.9209138840070299,0.8297703879651623,0.8109406711152124,0.734890230943269
4,0.797583081570997,0.7575644378035113,0.8752697453603798,0.8121746095314377,0.797583081570997,0.7254383598901688
5,0.7520891364902507,0.7187311178247734,0.8283426183844012,0.7696538337107732,0.7520891364902507,0.6811843068611197
6,0.7899368231046932,0.7227036395147314,0.9408844765342961,0.8174867673005293,0.7899368231046932,0.7095383972871006
7,0.6378254211332313,0.6804536357571714,0.5204081632653061,0.5897658282740676,0.6378853890892414,0.5940319524479547
8,0.7293709150326797,0.7053016453382084,0.7879901960784313,0.7443565502604669,0.7293709150326798,0.6617756837652793
9,0.7204122340425532,0.6977645305514159,0.7779993353273513,0.735700817096166,0.720393083027826,0.653897575026556
10,0.5913841447871527,0.6037463976945245,0.5336220071319409,0.5665224445646295,0.591428350504746,0.5555396854642926
11,0.6705349561279366,0.6826690821256038,0.6390616167326173,0.6601459854014599,0.6705795612007758,0.6169922039766226
12,0.3278271918678526,0.055008210180623976,0.021283354510800507,0.030691708657810353,0.3278271918678526,0.4905290819828786
13,0.12254025044722719,0.18712930011862397,0.2257602862254025,0.20463758715745095,0.12254025044722719,0.4293662212432386
14,0.8042830540037244,0.9475675675675675,0.6475803472478758,0.7693658108404652,0.8055776313783503,0.7912797657311468
15,0.8548919567827131,0.9445266272189349,0.7576386828834174,0.8408230452674897,0.8560437568683713,0.8382089494103167
16,0.8802966101694916,0.9483109483109483,0.808746962860118,0.8729861371300113,0.8815563775852873,0.8642246727398055
17,0.848605577689243,0.9124423963133641,0.7764705882352941,0.8389830508474576,0.8497737556561086,0.822030500929327
18,0.841606246514222,0.9321329639889196,0.7411894273127754,0.8257668711656442,0.8429110978371787,0.8219523515229474
19,0.7811080835603996,0.9191517561298873,0.6222521310004486,0.7421080791867308,0.7830800884887301,0.7631339663942365
20,0.8234649122807017,0.9144919489172681,0.716710182767624,0.8036106367406685,0.8243144194121056,0.7981888497427527
21,0.8383553044569994,0.8990490124359912,0.7652552926525529,0.8267743020517996,0.8389567602503271,0.8063322097220742
22,0.839041095890411,0.9319781078967944,0.7348951911220715,0.8217855911754567,0.8400891049949979,0.8187792060631309
23,0.811046511627907,0.9144237405106971,0.691544885177453,0.787518573551263,0.8125818644302683,0.7885489929817301
24,0.8111363636363637,0.91270783847981,0.6920306168392616,0.7871959026888604,0.8122842391217877,0.7870763139117576
