snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
1,0.7489595157018539,0.8104667609618105,0.6501512859304085,0.721511017838405,0.7489969147290195,0.7019165478950091
2,0.7680099857346647,0.836241610738255,0.6665477888730386,0.7418138519547529,0.7680099857346647,0.7241211021646927
3,0.8107692307692308,0.7549549549549549,0.9204745166959578,0.8295387052068898,0.8107209874596764,0.7346970170696006
4,0.7926197669400087,0.7520446096654275,0.8731117824773413,0.8080687038146595,0.7926197669400086,0.7200631184087871
5,0.7526114206128134,0.7181954887218045,0.8314763231197771,0.7706954978215266,0.7526114206128133,0.6814243826837287
6,0.8007671480144405,0.7200396170353252,0.9842057761732852,0.8316491897044804,0.8007671480144404,0.7165642620731246
7,0.656712608473711,0.6673924877517692,0.6255102040816326,0.6457729786673689,0.6567285443288654,0.604801291052809
8,0.7281454248366013,0.7030170846964741,0.7900326797385621,0.7439892286978265,0.7281454248366014,0.6603901314554661
9,0.7337101063829787,0.6773380388202672,0.8929877035559987,0.770355504587156,0.7336571374447768,0.658378475987447
10,0.6937292888095845,0.6453521664439779,0.8611818644931227,0.7378068739770868,0.693601136328194,0.6252277282694954
11,0.6951599207472403,0.6374652363925308,0.9070096099491238,0.7487167522165189,0.6948596802580087,0.6247480917369229
12,0.3300508259212198,0.07062600321027288,0.02795425667090216,0.04005461993627674,0.3300508259212198,0.4879971690859289
13,0.5810375670840787,0.924953095684803,0.17638640429338104,0.29627403846153844,0.5810375670840787,0.5749559485411835
14,0.804096834264432,0.9465731246627092,0.6479497598817879,0.769298245614035,0.8053868213603457,0.7907992403813799
15,0.8553421368547419,0.944588104913188,0.7585286265203204,0.8413951957880882,0.8564887286868228,0.8386459773910503
16,0.8834745762711864,0.9472412404349577,0.8163832002776814,0.8769574944071589,0.8846558473540761,0.8667087279566587
17,0.8523406374501992,0.9089881288863765,0.788235294117647,0.8443160934628512,0.8533787806620623,0.8240662462377405
18,0.8443948689347462,0.9314128943758574,0.7477973568281938,0.8295662797800856,0.8456500908434754,0.824227007389975
19,0.7822434150772025,0.9194187582562747,0.6244952893674294,0.743788405022709,0.7842016676722204,0.7642271793999014
20,0.8265350877192983,0.914238592633315,0.7236727589208007,0.8078698081127035,0.8273536208397106,0.8008639506077333
21,0.8411801632140615,0.8997093023255814,0.7708592777085927,0.8303152246814218,0.841758752778347,0.8090545987827185
22,0.839041095890411,0.9319781078967944,0.7348951911220715,0.8217855911754567,0.8400891049949979,0.8187792060631309
23,0.811046511627907,0.9144237405106971,0.691544885177453,0.787518573551263,0.8125818644302683,0.7885489929817301
24,0.8122727272727273,0.9095713446858485,0.6974335884736605,0.7895005096839959,0.8133794835438519,0.7870928796243368
