snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
1,0.44721906923950056,0.47102959566486036,0.8547655068078669,0.6073636119322763,0.4470648124501106,0.47526457296690294
2,0.4634450784593438,0.48086615643083813,0.9186875891583453,0.6312951844136748,0.4634450784593438,0.4824219753801138
3,0.4876923076923077,0.4936998854524628,0.9468365553602812,0.6489986447824123,0.4874903972931573,0.49404650551698187
4,0.4995684074233923,0.4997794441993824,0.9779887785930081,0.6615092687198949,0.4995684074233923,0.4997842989019424
5,0.4754526462395543,0.4871373836891078,0.9296657381615598,0.6392912725966718,0.4754526462395543,0.48804206631264546
6,0.49526173285198555,0.497563239730796,0.9675090252707581,0.6571647509578544,0.49526173285198555,0.4976424124471239
7,0.49106687085247575,0.4955867082035306,0.9739795918367347,0.6569167240192705,0.49082023514206496,0.4957081851050353
8,0.4922385620915033,0.49597286986011024,0.9558823529411765,0.6530840078146805,0.4922385620915033,0.49615053736628184
9,0.4945146276595745,0.4972318339100346,0.9551345962113659,0.6539993173284788,0.49436144509603885,0.49736348647956596
10,0.4797348967626816,0.4893296853625171,0.9111054508405502,0.6367034531861873,0.4794047662366016,0.49031220793039715
11,0.49334842909708465,0.49671567094150765,0.8976823063877897,0.63954893274265,0.49277539355670663,0.49712411734069617
12,0.5219186785260482,0.5112085769980507,0.9996823379923762,0.6764832330180568,0.5219186785260483,0.5112050164589788
13,0.44347048300536673,0.4700189753320683,0.8862254025044722,0.6142591444513329,0.44347048300536673,0.47343005434616575
14,0.34823091247672255,0.4118301089615299,0.6841521980051718,0.5141588006662965,0.34545574601723106,0.4409723513457121
15,0.43712484993997597,0.4692158133506157,0.8590922574903589,0.6069370219008697,0.432127361663491,0.4743781837461172
16,0.4344985875706215,0.4690978886756238,0.848316556751128,0.6041280435051292,0.42721253637053347,0.47509746050278906
17,0.38471115537848605,0.4378783511098299,0.7446078431372549,0.5514612452350699,0.37888286893704853,0.4557787302735992
18,0.3775794757389849,0.43237971391417424,0.7323788546255506,0.5437448896156991,0.3729690883297245,0.45219280927726524
19,0.44323342415985467,0.472584214408655,0.8622700762673845,0.6105463786531131,0.4380315898578302,0.4772045817326114
20,0.4826754385964912,0.49310734463276834,0.9495213228894691,0.6491149784322475,0.478960484610075,0.49365453469344767
21,0.448210922787194,0.47442799461641993,0.8779576587795765,0.6159895150720839,0.4446750319214338,0.47804683767783057
22,0.3938356164383562,0.44223249200142195,0.7669543773119606,0.5609921082299887,0.39008096224088595,0.45685583170690397
23,0.488107822410148,0.4971537001897533,0.9572025052192067,0.6544157002676182,0.48208090999718367,0.4975469575754717
24,0.45022727272727275,0.4759124087591241,0.8806843764070239,0.617911862265045,0.44607876461470974,0.4793558956596666
