snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
4,0.5200690548122572,0.5107930015905476,0.969383354894351,0.669047619047619,0.5196808783111063,0.5104757700079734
5,0.6558147632311978,0.6800481734243276,0.5894224077940153,0.6315004659832246,0.6558610296809798,0.6062673866703411
6,0.7181859205776173,0.7162645218945487,0.7230491655390167,0.7196408529741863,0.718183724981698,0.6564323709982403
7,0.6138335885655947,0.6389061528899938,0.5244897959183673,0.5760717287755673,0.6138792186946279,0.5729762253257649
8,0.7465277777777778,0.7133262636974196,0.8243464052287581,0.7648285010422589,0.7465277777777778,0.6758547386198499
9,0.6998005319148937,0.7075862068965517,0.6817275747508306,0.6944162436548224,0.6998125565038251,0.6416230500313214
10,0.6841702778485853,0.6623989218328841,0.7515290519877675,0.7041547277936963,0.6841531032503856,0.6220791762557768
11,0.6602037928106426,0.6438529784537389,0.7183257918552036,0.6790536024595643,0.6601543973440325,0.6034528946138518
12,0.3189326556543837,0.06221198156682028,0.02573062261753494,0.03640449438202247,0.3189326556543837,0.48873544171121747
13,0.6354203935599284,0.6303823630726835,0.6547406082289803,0.6423306423306423,0.6354203935599285,0.5853666277005405
14,0.6184357541899441,0.6861555432984004,0.4566813509544787,0.5483799867754022,0.6208198893850247,0.588959654631118
15,0.7399459783913566,0.8288942695722357,0.6107641986321737,0.7033042287279575,0.7411591365775227,0.7026875157346588
16,0.8012005649717514,0.9279764821166095,0.6592412112774104,0.7708587708587709,0.8032859585588055,0.7846063853052441
17,0.8413844621513944,0.9134045077105575,0.758247168882324,0.8286252354048964,0.8423477658013635,0.8148473381911818
18,0.8455103179029559,0.9139072847682119,0.7649667405764967,0.8328304164152082,0.8460075004790453,0.8173462674484839
19,0.8090372388737511,0.9136390708755211,0.6878923766816144,0.7848554617549245,0.8105975222874495,0.7865234990327087
20,0.8054824561403509,0.9015367103016505,0.6892950391644909,0.7812577065351418,0.8064070244451985,0.7780037294040235
21,0.8493408662900188,0.9227306826706677,0.7654013690105788,0.8367346938775511,0.8500851050246053,0.824589522345576
22,0.8539850560398505,0.9146782357194505,0.7827970297029703,0.8436145381793931,0.8544310963051192,0.8252851146479162
23,0.8424947145877378,0.9040590405904059,0.7696335078534031,0.831447963800905,0.8431945554208318,0.8120732004836181
24,0.8079545454545455,0.9033760186263097,0.6956521739130435,0.7860217776652317,0.809559604706637,0.7827536730364841
