snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
3,0.5454707560627675,0.9411764705882353,0.09700427960057062,0.17588102166181702,0.5454707560627674,0.5427960057061341
4,0.510989010989011,0.5742857142857143,0.08827404479578392,0.15302626570232203,0.5113609555259165,0.5069582591321722
5,0.45899870522227015,0.23076923076923078,0.034943917169974116,0.06069689022105657,0.4591818031445726,0.4908002778210713
6,0.5383008356545961,0.609251968503937,0.21537926235212249,0.31825192802056557,0.5385258681098591,0.5238038050225666
7,0.5115072202166066,0.5309842041312273,0.19720216606498195,0.2875946034879895,0.5115072202166064,0.5061101521684775
8,0.5293517100561511,0.5588536335721597,0.2787136294027565,0.37193460490463215,0.5293517100561511,0.5164033098164365
9,0.5388071895424836,0.5710080941869021,0.31660546715626275,0.4073490813648294,0.5390798296926508,0.5229002974819468
10,0.526595744680851,0.5519439133205863,0.28761208900697444,0.37816593886462885,0.5268343306931711,0.5152949440524779
11,0.43168493499872546,0.33457943925233646,0.13671079429735233,0.1941080787999277,0.43206136958359187,0.47793536981239515
12,0.43631474667421455,0.36462093862815886,0.17152561562411547,0.23330125120307987,0.4363147466742145,0.47677902315558
13,0.3349745870393901,0.0272975432211101,0.009529860228716646,0.014127619496114905,0.3349745870393901,0.49549521165712623
14,0.5588550983899822,0.5682289506428868,0.49016100178890876,0.5263157894736842,0.558855098389982,0.5334431707981234
15,0.5921787709497207,0.6030805687203792,0.5630530973451328,0.5823798627002288,0.5924746299366748,0.5602367732281262
16,0.5781812725090036,0.5939698492462312,0.5258007117437722,0.5578102878716376,0.5788177313275362,0.552255747879366
17,0.6793785310734464,0.6652970922882427,0.7354996505939903,0.698639230003319,0.6787776625560957,0.6229769088627031
18,0.671812749003984,0.6551422319474836,0.7385298470646275,0.6943413729128015,0.6711754313251745,0.6158142039195387
19,0.6820970440602342,0.6656862745098039,0.7477973568281938,0.7043568464730291,0.6812433111824585,0.62551734341525
20,0.6053587647593097,0.6026405451448041,0.6373873873873874,0.6195271453590193,0.6050947925947926,0.5669038568088255
21,0.5578947368421052,0.5698131760078663,0.5039130434782608,0.5348407937240425,0.5583724509426702,0.5373555899817519
22,0.6569365976145637,0.6427771556550952,0.7161572052401747,0.6774859840660962,0.6565624939656338,0.6031417952154348
23,0.6220423412204235,0.6167630057803468,0.6594561186650185,0.6373954599761051,0.6217606816662609,0.57827234714352
24,0.6514270613107822,0.6391752577319587,0.7130162049137481,0.674079565109958,0.6507357881864304,0.6008268831390025
