snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
2,0.46166191155492153,0.4789174347911355,0.8708987161198288,0.6179931671517145,0.46166191155492153,0.48163922102708734
3,0.690989010989011,0.710691823899371,0.645147123407993,0.6763351749539595,0.6910293470097597,0.6360832034006767
4,0.8454898575744497,0.7910610465116279,0.9391716997411562,0.8587771203155818,0.8454494077289546,0.7733694243021849
5,0.6594707520891365,0.6733383685800605,0.6203897007654836,0.6457805143064107,0.6594979862712436,0.6076695149025951
6,0.6726083032490975,0.665943600867679,0.6926895306859205,0.6790533067905331,0.6726083032490975,0.6149473950053643
7,0.781010719754977,0.73276955602537,0.8846350178662583,0.8015726179463459,0.781010719754977,0.7059161003532242
8,0.6366421568627451,0.6524500907441017,0.5866993064055488,0.6178302900107412,0.6367034364338583,0.5896956104750437
9,0.6648936170212766,0.6559072391099968,0.6951179010295583,0.6749435665914221,0.6648634430272582,0.6085259484266166
10,0.7152689268417027,0.6737079573420837,0.8363034623217923,0.7462517037710131,0.7151144672507379,0.6453768846245604
11,0.7067647891310501,0.6616508077008187,0.8463062553071045,0.7426726279185295,0.7067647891310501,0.6368060897326489
12,0.30273189326556543,0.06267605633802817,0.028271918678526048,0.03896672504378284,0.30273189326556543,0.4876360130286164
13,0.762432915921288,0.8088421052631579,0.687298747763864,0.7431334622823984,0.7624329159212879,0.7122667922041239
14,0.7836126629422718,0.9433638443935927,0.6080383480825958,0.7394618834080717,0.7853961492105981,0.7715529764537111
15,0.8398859543817527,0.9380463702014443,0.7319098457888493,0.822255538897218,0.8411979362601597,0.8222196358616108
16,0.882768361581921,0.9350752177355502,0.8252969951083159,0.8767631774313289,0.8833836867047647,0.8599916035555959
17,0.7903386454183267,0.9055441478439425,0.6526887025160335,0.7586009174311926,0.791653551861335,0.7663372397081266
18,0.8393753485778026,0.9206241519674355,0.7472466960352423,0.8249240121580547,0.8405725005599941,0.8159311249499765
19,0.7995004541326067,0.9098712446351931,0.6684684684684684,0.7707089067774604,0.800580388080388,0.7753410366781746
20,0.793201754385965,0.9222153080273802,0.6443478260869565,0.7586383414384438,0.794519045786841,0.7736133938238361
21,0.8515379786566227,0.8984485190409027,0.7947598253275109,0.8434293280370738,0.8518966530301484,0.8173150692890916
22,0.8384184308841843,0.9236700077101002,0.7404202719406675,0.8219554030874786,0.8391561836491294,0.8146636495997474
23,0.8123678646934461,0.9045057162071285,0.7030841610036592,0.7911764705882353,0.8135944589090985,0.786049350847746
24,0.774090909090909,0.8962203715566944,0.6270730614074406,0.7378691983122363,0.7761921323634714,0.7510865611786793
