snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
2,0.8707203994293866,0.800520381613183,0.9875178316690443,0.884240779179307,0.8707203994293866,0.7967692356230042
3,0.7525274725274725,0.7475268817204301,0.7632850241545893,0.7553237722729248,0.7525180070179017,0.6890376124317219
4,0.8064307293914544,0.7554836389787846,0.9063848144952545,0.8240831535595214,0.8063875713236202,0.731586692531919
5,0.6048050139275766,0.6298366294067068,0.5097425191370911,0.5634615384615385,0.6048712595685455,0.5663539530155252
6,0.7763989169675091,0.7317442300416194,0.8727436823104693,0.7960485696645401,0.776398916967509,0.7022533126807273
7,0.6564573762123532,0.6528678304239401,0.6681980602348137,0.6604439959636731,0.6564573762123532,0.6021459877615812
8,0.7064950980392157,0.7084703947368421,0.7029783761729906,0.7057137005938972,0.7064994130353706,0.6467321781162593
9,0.7556515957446809,0.7071793492874429,0.8734639654599801,0.7815750371471025,0.755533979402203,0.6810267957412948
10,0.6357379556461892,0.6548928778228141,0.5758655804480651,0.6128420482254132,0.6358143624547625,0.5894677640324018
11,0.7054910840645344,0.67733268197362,0.7848853665440136,0.72715353349941,0.7054910840645345,0.6391858270910977
12,0.32512706480304954,0.07944996180290298,0.03303684879288437,0.04666816244110388,0.3251270648030496,0.48610635197824076
13,0.43935599284436494,0.4324970131421744,0.3885509838998211,0.4093479080286468,0.43935599284436494,0.4737716480402152
14,0.5931098696461825,0.9355371900826446,0.20870206489675516,0.34127223394633704,0.5970146893332535,0.5948761038793713
15,0.887905162064826,0.9330254041570438,0.8386714116251482,0.8833359362798688,0.8885033850349314,0.8641343858477368
16,0.9027189265536724,0.9268562984854082,0.876659678546471,0.9010594361644819,0.902997933491651,0.8748609910166735
17,0.8774900398406374,0.9128563743948359,0.8371978293043907,0.8733916623777663,0.8778749327517428,0.8464126898510687
18,0.8745119910764082,0.910950661853189,0.8337004405286343,0.870615296147211,0.8750423106597974,0.8436763651866873
19,0.8217529518619436,0.9140219272937103,0.7135135135135136,0.8014166455856312,0.8226450351450352,0.7965811657090582
20,0.8600877192982456,0.9180080482897385,0.7934782608695652,0.8512126865671642,0.8606771835321279,0.8325860962878722
21,0.869428750784683,0.8927862342819325,0.8415470991890206,0.8664097623635196,0.8696048825067023,0.831045457244048
22,0.8729763387297634,0.9060402684563759,0.8343634116192831,0.8687258687258688,0.8732670257594533,0.839403960288084
23,0.8530655391120507,0.9129640900791236,0.7841087297438578,0.843644544431946,0.853839506507418,0.8250068761872292
24,0.8343181818181818,0.9055075593952484,0.7516808606006276,0.8214548126377663,0.8354992592537486,0.806561792435685
