snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
5,0.8231197771587744,0.7768496420047732,0.9066852367688022,0.8367609254498715,0.8231197771587744,0.7510154832104559
6,0.6990072202166066,0.6892703862660944,0.7247292418772563,0.7065552133743951,0.6990072202166066,0.637169783548442
7,0.795048494129658,0.7492460146488582,0.8872448979591837,0.8124270030366737,0.795001407100123,0.7211710335735328
8,0.7369281045751634,0.7439126784214946,0.723265306122449,0.7334437086092715,0.7369392761192785,0.6765266232437559
9,0.741688829787234,0.6976365118174409,0.8534396809571286,0.7677130044843049,0.7416516662185045,0.6686952033461165
10,0.7272495539128219,0.6949115527407731,0.8107006369426751,0.7483537158984007,0.7272069876883741,0.6580631736794006
11,0.7071893574865553,0.6796473181484203,0.7847850678733032,0.7284420527628298,0.7071234121236205,0.641075906216178
12,0.38373570520965694,0.09151785714285714,0.026048284625158832,0.040553907022749754,0.3837357052096569,0.4893597408785623
13,0.47692307692307695,0.47265790589232726,0.39892665474060823,0.4326736515327901,0.47692307692307695,0.4890925098640232
14,0.6363128491620111,0.9504716981132075,0.2966507177033493,0.45217391304347826,0.6404097915693527,0.6378240331897136
15,0.8527911164465787,0.9567198177676538,0.7440212577502214,0.8370702541106129,0.8546166709867983,0.841921922946379
16,0.8808262711864406,0.9437474706596519,0.8131101813110181,0.8735718299306986,0.8816981521719612,0.8620034453414662
17,0.862300796812749,0.9118303571428571,0.8053228191227205,0.8552734886155456,0.8629029797677016,0.8326743674811421
18,0.879531511433352,0.8977599080987938,0.8602091359383599,0.8785834738617201,0.8797936578504688,0.843092284307081
19,0.8551316984559492,0.8875305623471883,0.8164642375168691,0.8505154639175257,0.8555040123852113,0.8172800156308324
20,0.893859649122807,0.9019001325673884,0.8862353452019105,0.8939991239597022,0.8939373447321028,0.8567519156743856
21,0.8898305084745762,0.889372280919826,0.89214463840399,0.8907563025210085,0.8898144178113504,0.8477487747423891
22,0.8935242839352429,0.8995605775266792,0.8873065015479876,0.8933915211970075,0.8935593246625348,0.8548484645423101
23,0.8771141649048626,0.8869844670594537,0.8670157068062827,0.8768864177918984,0.8772111618343047,0.8361542003631331
24,0.8543181818181819,0.88,0.8232642019837692,0.8506871651525739,0.8545743558039836,0.813563406836626
