snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
4,0.4947252747252747,0.25,0.005274725274725275,0.010331467929401636,0.49472527472527467,0.49868131868131865
5,0.4773413897280967,0.26244343891402716,0.025032369443245578,0.045705279747832936,0.47734138972809664,0.49405339639922896
6,0.5177576601671309,0.5718157181571816,0.14673157162726008,0.23353624792473712,0.5182751303045645,0.5111318312626411
7,0.5304602888086642,0.5947075208913649,0.1926026161479477,0.2909710391822828,0.5306128204893238,0.5184230907925299
8,0.5533435426237876,0.6195899772209568,0.27755102040816326,0.383368569415081,0.5534843968230806,0.5333767124950424
9,0.5494281045751634,0.5982142857142857,0.30106209150326796,0.40054347826086956,0.5494281045751634,0.5295685982726424
10,0.5408909574468085,0.5850622406639004,0.28125,0.37988325101032777,0.5408909574468085,0.523923755186722
11,0.4314300280397655,0.31153305203938114,0.11286624203821656,0.16570039274359455,0.4315925191318346,0.4789545804037056
12,0.44126804415510895,0.369880277252678,0.16605374823196606,0.22920734088246777,0.44142392877471986,0.47862917711136493
13,0.3505400254129606,0.029970029970029972,0.009529860228716646,0.014461315979754157,0.3505400254129606,0.49552068008230654
14,0.5785330948121645,0.595393307257714,0.49016100178890876,0.5376766091051806,0.5785330948121645,0.5467580790493982
15,0.6046554934823091,0.6174686615446826,0.5647189349112426,0.5899169403129225,0.6049401126169116,0.5678768780356973
16,0.5805822328931572,0.5942953020134228,0.52755436401549,0.5589395613066119,0.580983108829638,0.5515182781703165
17,0.6917372881355932,0.6833225178455549,0.7322670375521557,0.7069486404833837,0.691097650770339,0.6363208835190604
18,0.6877490039840638,0.6728089887640449,0.7399901136925359,0.7048022598870056,0.6873558195156106,0.6288480957063955
19,0.6946458449525934,0.6803607214428857,0.7482093663911846,0.7126738388874311,0.6939804595931078,0.6364923089261895
20,0.6430517711171662,0.6485125858123569,0.6380009004952724,0.643213799364503,0.6430957319700366,0.5963129216327087
21,0.5649122807017544,0.5774788241155954,0.5050108932461873,0.5388191538819154,0.5653089786319236,0.5407559038149186
22,0.6767106089139987,0.668025626092021,0.7137523335407592,0.6901323706377858,0.6763821832364973,0.6211865192936052
23,0.6397882938978829,0.6385902031063322,0.6594694632942628,0.6488619119878604,0.6396027391895576,0.5929862802260626
24,0.6609408033826638,0.6501193317422435,0.7123430962343096,0.6798103319191415,0.6603916335872403,0.6084568549043523
