snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
3,0.7041758241758241,0.7247218190614417,0.6584615384615384,0.6900046061722709,0.7041758241758241,0.6479706747050724
4,0.8299525248165731,0.7892546348846008,0.9003021148036254,0.8411290322580646,0.8299525248165731,0.7604165595033566
5,0.6488509749303621,0.7052078356426182,0.5132127955493742,0.5940833165626886,0.6490401495180623,0.6056542753027196
6,0.7818140794223827,0.7498001598721024,0.8461885430762291,0.7950837041746133,0.7817850164591078,0.7114127380934944
7,0.6005615109749872,0.6359256710254646,0.4714285714285714,0.5414591268678582,0.6006274624252153,0.5642141533930081
8,0.6517565359477124,0.679729075955491,0.573937908496732,0.6223698781838317,0.6517565359477124,0.6031533299499447
9,0.7217420212765957,0.7195523370638578,0.7267287234042553,0.7231227257691035,0.7217420212765957,0.659554989634838
10,0.5848840173336732,0.6354420113544201,0.39923566878980893,0.49037709278673136,0.584978711722117,0.5542264209940393
11,0.6810076422303991,0.7107601184600197,0.611032531824611,0.6571341648919988,0.6810472769573352,0.628891384309153
12,0.3875476493011436,0.09122401847575058,0.025095298602287167,0.0393622321873443,0.3875476493011436,0.48974164468220593
13,0.3885509838998211,0.3625937362152625,0.29409660107334523,0.3247728170683524,0.3885509838998211,0.45958928485472117
14,0.6292364990689013,0.9028248587570622,0.29548816568047337,0.44524937308442464,0.6316150505821722,0.6215226647968122
15,0.7743097238895558,0.9526135808500245,0.580875781948168,0.7216876387860843,0.7757720306777429,0.764484612452215
16,0.902542372881356,0.9300518134715026,0.8737830319888734,0.9010397992111868,0.9029962505711943,0.876752476532727
17,0.8794820717131474,0.9069275515600211,0.8477508650519031,0.8763413387838528,0.8797208916328256,0.8455418434660459
18,0.8722810931399888,0.9253918495297806,0.8132231404958677,0.8656891495601173,0.8730147323032698,0.8470843661196601
19,0.8344686648501363,0.9076502732240437,0.7478613237280505,0.8200444334732165,0.8352224621388763,0.8059536646973855
20,0.868421052631579,0.9037636969985707,0.8265795206971678,0.8634501593081475,0.8686981488695552,0.8343132652429649
21,0.8534212178279975,0.8920220082530949,0.8070939639079029,0.8474354786017642,0.8538319724542681,0.8172462690551079
22,0.8546077210460772,0.8914518317503393,0.8106107341147439,0.8491114701130856,0.8550225260768566,0.8181995022188665
23,0.8398520084566596,0.9030864197530865,0.7651673640167364,0.8284258210645526,0.8406499213246075,0.8096697605671934
24,0.8295454545454546,0.8966074313408724,0.7489878542510121,0.8161764705882353,0.8303965454075456,0.7983662579236935
