snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
3,0.814945054945055,0.7631289019463827,0.9134065934065934,0.8315326130452181,0.8149450549450549,0.740343673953663
4,0.813767803193785,0.7649416909620991,0.9059128182995253,0.8294803398537839,0.813767803193785,0.740014073944517
5,0.5919220055710307,0.6239515377446412,0.46557719054242,0.5332536837913182,0.5920982187021723,0.5580811694373828
6,0.7982851985559567,0.7147030185004869,0.993234100135318,0.8312570781426953,0.7981971855078396,0.7132518859786227
7,0.7708014293006636,0.7234848484848485,0.8770408163265306,0.7928966789667896,0.7707471701653082,0.6960367171022662
8,0.7318218954248366,0.6991926991926992,0.8137254901960784,0.7521238436851048,0.7318218954248366,0.6620881767940592
9,0.6773603723404256,0.6733831654208645,0.6888297872340425,0.6810188989317995,0.6773603723404256,0.6194314889468189
10,0.6961509049197043,0.6600207684319834,0.8096815286624204,0.7272311212814645,0.6960929959047883,0.6296143739045061
11,0.7291253891876592,0.6973459946432919,0.8101838755304102,0.7495420047108087,0.7290794767060151,0.6599402693737154
12,0.37166454891994916,0.10157790927021697,0.032719186785260486,0.049495434887073524,0.3716645489199492,0.4869639531940382
13,0.4772808586762075,0.45525017618040875,0.23112701252236137,0.3065970574276222,0.47728085867620756,0.4896571069096759
14,0.6165735567970205,0.6511954992967651,0.5136834319526628,0.5743229274343601,0.6173068322554012,0.5793872961203501
15,0.7082833133253301,0.9300060864272672,0.45516830503425676,0.6112,0.7101967923719817,0.6977690779442072
16,0.9073093220338984,0.939768050879162,0.8734353268428373,0.90538835826275,0.9078439188016195,0.8850921513992609
17,0.8692729083665338,0.9128996692392503,0.8185862580326249,0.8631743549648163,0.8696543934418015,0.8386715863531732
18,0.807585052983826,0.9343629343629344,0.6666666666666666,0.7781350482315113,0.8093355919442875,0.7916202793503407
19,0.8044959128065395,0.9276729559748428,0.6641152633948672,0.7740750459197061,0.8057177324761784,0.7854732318085214
20,0.8478070175438597,0.9149818558838777,0.7690631808278867,0.8357007575757576,0.8483284999062171,0.8199069266612966
21,0.8709981167608286,0.9051490514905149,0.8313627878033603,0.8666882906260136,0.8713495382968669,0.8375668747318153
22,0.8599003735990037,0.9018531228551819,0.8106107341147439,0.8538011695906432,0.8603650779310363,0.8266309004371042
23,0.8475158562367865,0.9179711959924859,0.7667364016736402,0.835565688230265,0.8483788845975039,0.8217066251014153
24,0.8211363636363637,0.9011173184357542,0.725596041385515,0.803887366060304,0.8221457469215128,0.7924835227172775
