snapshot_time,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,average_precision_score
3,0.35714285714285715,0.4039598108747045,0.6008791208791209,0.4831242268952112,0.35714285714285715,0.4422914555893279
4,0.8282261545101425,0.7788778877887789,0.9167026327147173,0.8421887390959556,0.8282261545101425,0.755648093941893
5,0.6796657381615598,0.71875,0.5917941585535466,0.6491228070175439,0.6797882926658946,0.6297392380898881
6,0.7285649819494585,0.7093311312964492,0.7749210645015787,0.7406768700150894,0.7285440536954846,0.6622658880559348
7,0.6026033690658499,0.618599175985874,0.5362244897959184,0.5744738999726702,0.6026372704342207,0.5637141531054733
8,0.5868055555555556,0.6174682144831398,0.4562908496732026,0.5247827108292225,0.5868055555555556,0.5535996713961059
9,0.6678856382978723,0.6599113362887904,0.6928191489361702,0.6759649691858579,0.6678856382978723,0.6107896359128455
10,0.6774152434361458,0.656770130454341,0.7439490445859872,0.6976466371998566,0.6773813062766711,0.6166942579415109
11,0.636003396546844,0.6279564177517938,0.6684582743988685,0.647574677993971,0.6359850137216659,0.585627367625438
12,0.31400889453621345,0.07418181818181818,0.032401524777636595,0.04510280787088216,0.3140088945362135,0.48620284163105004
13,0.6708407871198568,0.6806659099508134,0.643649373881932,0.6616403089371092,0.6708407871198567,0.6162854998216506
14,0.7104283054003724,0.7865336658354115,0.5832100591715976,0.6697812699086855,0.7113349620689196,0.6685839919748193
15,0.7915666266506602,0.9517906336088154,0.6175156389633601,0.7490514905149052,0.7928824036969809,0.7804226721006203
16,0.8716454802259888,0.9452963116452548,0.7931154381084841,0.8625449045188126,0.8728848352665806,0.854778533381109
17,0.8608067729083665,0.9245939675174014,0.7879387048937222,0.8508139845209501,0.8613552029235294,0.8353460824815562
18,0.8407696597880647,0.9361851332398317,0.7355371900826446,0.8238198087010182,0.8420768954365792,0.8224528584855366
19,0.8049500454132607,0.9261576971214017,0.6663665015758667,0.7750720083791568,0.8061562237609063,0.7854165953285404
20,0.7804824561403508,0.9110546378653113,0.6248366013071895,0.741276815714655,0.7815132233909016,0.7580760730025977
21,0.8414940364092907,0.9051470588235294,0.7660236465463597,0.8297944051230199,0.8421631848944592,0.8113803720668643
22,0.8483810709838107,0.9067431850789096,0.7797655768044417,0.8384742951907131,0.8490279801055521,0.8181928263380096
23,0.8335095137420718,0.9151554404145078,0.7390167364016736,0.8177083333333334,0.8345190519615207,0.8081862228161693
24,0.8163636363636364,0.903593839132915,0.7125506072874493,0.7967806841046278,0.8174604207773949,0.7890836115426292
